BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
None,None,None,Negative,Negative,Negative,None,None,None,None
Positive,None,None,Negative,Neutral,None,None,Negative,None,None
Positive,Neutral,Negative,Negative,Positive,Positive,Neutral,Positive,None,None
None,None,None,Negative,None,None,None,None,None,None
None,None,None,Negative,Negative,Negative,None,None,None,None
Negative,None,None,Negative,None,Negative,None,Positive,None,None
None,None,None,Negative,Positive,None,None,None,None,None
Neutral,Neutral,Neutral,None,None,Neutral,None,Neutral,Neutral,None
None,None,None,Negative,Positive,Positive,None,Negative,None,None
None,None,Negative,None,None,Negative,Negative,None,Negative,None
None,None,Positive,None,Positive,None,Neutral,None,None,None
Neutral,Positive,None,Neutral,None,None,None,None,None,None
Positive,None,None,None,Positive,Positive,Neutral,Positive,None,None
Negative,None,None,None,Positive,None,None,None,Neutral,None
None,None,None,Positive,None,None,None,None,Positive,None
Positive,None,None,None,Positive,None,Neutral,None,Positive,None
Positive,None,None,Positive,Positive,None,None,None,Positive,None
Positive,Negative,None,None,Positive,None,None,Positive,None,None
Negative,None,None,Negative,Positive,None,None,None,None,None
Neutral,Negative,None,None,Negative,Negative,None,Negative,None,None
None,None,None,Negative,Negative,None,Negative,Negative,None,None
None,None,None,Negative,None,None,None,None,Negative,None
Positive,None,None,Positive,Positive,Neutral,None,None,None,None
None,None,None,None,Positive,Neutral,None,None,None,None
Neutral,Negative,None,Negative,Positive,None,None,None,None,None
None,Negative,None,None,Positive,None,Neutral,None,None,None
Neutral,Negative,None,None,None,None,None,None,None,None
None,Negative,None,Negative,None,Negative,None,None,None,None
Positive,None,None,Negative,None,Positive,None,None,None,None
Positive,None,None,None,Neutral,Neutral,Neutral,None,None,None
Positive,Positive,Positive,None,None,None,Neutral,None,Positive,None
None,None,None,None,Negative,Negative,Negative,None,None,None
Negative,None,None,Negative,Negative,None,None,None,Positive,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Positive,Negative,None,None,Positive,Positive,None,None,None,None
None,None,None,Negative,Negative,Negative,None,None,None,None
Positive,None,Positive,None,None,Positive,None,Positive,Positive,None
None,None,Negative,None,None,None,None,None,None,None
Positive,None,None,Negative,Positive,Neutral,None,None,None,None
None,Negative,None,None,Positive,None,Neutral,None,None,None
None,None,None,Negative,None,Positive,None,None,None,None
Positive,Neutral,None,None,Positive,Positive,Neutral,None,None,None
None,Neutral,None,None,None,Neutral,None,None,None,None
None,None,None,Neutral,None,None,None,None,Neutral,None
Positive,Positive,None,None,Positive,Positive,None,None,Positive,None
None,None,None,None,Positive,None,None,None,None,None
Positive,Positive,Neutral,None,None,Positive,None,None,None,None
None,None,Negative,None,None,Positive,Neutral,None,None,None
Positive,None,None,Negative,None,Positive,None,Positive,None,None
Negative,None,None,None,Negative,None,None,None,Negative,None
Positive,Negative,None,None,Positive,Positive,Neutral,None,Positive,None
None,None,None,None,Positive,None,None,None,Neutral,None
Neutral,Neutral,None,Negative,None,Neutral,None,None,None,None
Negative,None,None,None,None,Negative,Negative,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
None,None,None,Negative,Negative,None,Neutral,None,None,None
Negative,Positive,None,None,None,Positive,None,Positive,None,None
Positive,None,Positive,None,None,None,None,None,None,None
None,None,None,Negative,None,Neutral,None,None,None,None
None,None,None,Neutral,Positive,None,None,None,None,None
Positive,None,None,None,Positive,None,None,Positive,None,None
Positive,Positive,None,None,Positive,Positive,Neutral,None,Positive,None
Neutral,None,None,None,Positive,None,None,None,Positive,None
None,Negative,None,None,Negative,None,Neutral,Negative,None,None
Neutral,None,None,None,None,None,None,None,None,None
None,Positive,None,None,None,Positive,None,None,None,None
None,None,None,Negative,Negative,None,Neutral,None,None,None
Negative,None,None,None,None,None,None,None,None,None
Negative,None,None,None,Neutral,None,None,None,None,None
None,None,None,None,None,Negative,None,None,Negative,None
None,None,None,None,None,Negative,None,None,None,None
Positive,Positive,None,None,Positive,Positive,None,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
Positive,None,None,Neutral,Positive,None,Neutral,None,None,None
None,None,None,None,Positive,None,Positive,None,Positive,None
Positive,None,None,Positive,Positive,Positive,Neutral,None,None,None
Positive,None,None,None,Positive,Neutral,None,None,None,None
Negative,None,None,Negative,None,Negative,None,None,None,None
None,None,Negative,None,Positive,None,Neutral,None,Positive,None
Positive,Positive,Positive,Positive,Neutral,None,Neutral,None,None,None
Positive,None,None,Neutral,Positive,None,None,None,None,None
None,None,None,Negative,Negative,None,None,None,None,None
None,None,Positive,None,Positive,None,None,None,None,None
Negative,None,None,Negative,Positive,None,None,None,None,None
Negative,None,None,Negative,None,Positive,Negative,None,None,None
Positive,None,Positive,None,Positive,None,None,None,Positive,None
Positive,None,None,Negative,Positive,None,None,None,Positive,None
Negative,Negative,None,None,Negative,None,None,None,Negative,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,Neutral,None,Neutral,Positive,Positive,None,None,None,None
Negative,None,Positive,None,Positive,None,None,None,None,None
Positive,Neutral,None,None,Positive,Positive,Neutral,Positive,None,None
None,None,None,None,Positive,None,None,None,Positive,None
Positive,None,None,None,Positive,None,None,None,None,None
Negative,None,None,Negative,None,None,None,None,None,None
None,None,None,None,Positive,None,Neutral,None,Negative,None
Positive,Positive,None,Positive,None,Positive,Neutral,Neutral,Neutral,Positive
None,None,None,None,Positive,Negative,Neutral,None,None,None
None,None,Negative,None,None,None,None,None,None,None
Positive,Neutral,None,None,None,Negative,None,None,Positive,None
None,Positive,None,None,None,None,None,None,None,None
None,None,Positive,None,Positive,Positive,Positive,None,None,None
None,None,None,Negative,None,Negative,Neutral,None,None,None
Negative,None,Negative,Negative,None,Negative,Neutral,Negative,None,None
Negative,Positive,None,None,Positive,Negative,None,None,None,None
Positive,None,None,None,Positive,Positive,None,None,None,None
None,Negative,None,None,None,None,None,Negative,None,None
Positive,Negative,None,Negative,Positive,Positive,Neutral,None,None,None
Negative,None,None,None,None,Positive,None,None,None,None
None,None,None,None,Negative,Negative,None,None,None,None
Positive,None,Positive,None,None,Positive,None,None,None,None
None,None,None,None,Negative,None,None,None,Negative,None
None,None,Negative,None,None,None,None,None,None,None
Positive,None,None,Positive,Positive,Positive,None,None,None,None
Negative,None,None,None,None,Negative,Neutral,None,None,None
None,Positive,None,None,Positive,None,None,Positive,None,None
Negative,None,None,None,Positive,Positive,None,None,None,None
Positive,None,None,None,Positive,Positive,Positive,None,Positive,None
None,None,None,None,Positive,None,None,None,Positive,None
Positive,Positive,Positive,None,None,Positive,Positive,None,None,Positive
None,None,None,None,Negative,Negative,None,None,None,None
Positive,None,None,None,None,None,None,None,None,None
Neutral,Neutral,None,None,None,Positive,Positive,None,None,None
Negative,None,None,None,Positive,Positive,None,None,None,None
None,Positive,None,None,Positive,Positive,None,None,None,None
Negative,None,None,None,Negative,Negative,None,None,Negative,None
None,None,None,None,Negative,Negative,Neutral,None,Negative,None
None,None,None,None,Neutral,Negative,None,Negative,None,None
None,None,Neutral,None,Positive,Positive,None,None,None,None
None,None,None,None,Positive,Positive,Neutral,None,Positive,None
None,None,None,None,Positive,Positive,None,None,Positive,None
Negative,None,None,Negative,Negative,None,Neutral,None,None,None
Positive,Positive,None,None,Positive,None,None,None,None,None
None,None,None,None,None,None,Positive,None,None,None
Negative,None,None,None,Negative,None,None,None,Negative,None
None,None,Positive,Neutral,None,None,None,None,None,None
Positive,Neutral,None,None,None,Neutral,None,Positive,None,None
Negative,None,None,None,None,Positive,None,None,None,None
None,Positive,None,None,Positive,Positive,None,Positive,None,None
None,Negative,None,Negative,None,None,None,None,None,None
None,None,None,None,None,Negative,None,None,Negative,None
None,None,None,None,Positive,Positive,Positive,None,Positive,None
None,None,None,Positive,None,None,None,Positive,None,None
None,None,None,None,None,None,None,None,Negative,None
Negative,None,None,None,None,None,None,None,Negative,None
Neutral,Positive,Positive,Positive,Positive,Neutral,None,None,None,None
Negative,Negative,Negative,None,Negative,Negative,Neutral,Negative,None,None
Positive,None,None,None,Positive,None,Neutral,None,None,None
None,None,None,None,Positive,Negative,None,None,None,None
Positive,None,Positive,None,Positive,Positive,None,Positive,Positive,Positive
None,Positive,Positive,Positive,None,None,None,None,Positive,None
None,Positive,Positive,None,Positive,None,Positive,None,Positive,None
None,None,None,None,Negative,None,Negative,None,Negative,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,None,Positive,None,None,None,Positive,Positive,None
None,None,None,Negative,None,Negative,None,None,None,None
Neutral,None,None,None,Positive,Negative,None,None,Negative,None
Negative,None,None,None,None,Negative,None,None,Negative,None
None,None,None,Negative,Positive,None,None,None,None,None
None,None,None,Negative,Negative,None,None,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
Positive,None,None,Positive,Positive,Positive,None,None,None,None
None,None,None,Negative,None,Negative,None,None,None,None
Negative,None,None,None,Positive,Positive,None,None,Positive,None
None,None,None,Positive,None,Neutral,None,None,Positive,None
None,Positive,None,None,None,Positive,Positive,None,None,None
None,None,None,None,Positive,None,Neutral,None,None,None
Positive,Neutral,None,Positive,None,None,Positive,None,None,None
Negative,None,None,Negative,Negative,None,None,None,None,None
Neutral,None,None,Negative,None,None,None,None,None,None
None,None,None,None,Positive,None,None,None,Positive,None
None,Positive,None,None,None,Positive,None,None,None,None
None,None,Positive,None,None,Positive,None,None,Positive,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,Positive,None,Positive,Positive,Neutral,None,None,Positive
Negative,None,None,None,None,Negative,None,None,None,None
Negative,None,None,Negative,Negative,Negative,None,None,None,None
None,None,None,None,Negative,Negative,None,None,None,None
None,None,None,Negative,None,Negative,None,None,Negative,None
Negative,Negative,None,None,None,None,None,None,Negative,None
None,None,None,Negative,Negative,Negative,None,None,None,None
None,Neutral,Positive,None,Positive,Positive,Positive,None,Positive,None
Negative,None,None,None,Positive,Positive,Neutral,None,Positive,None
None,None,None,None,Positive,None,None,None,Positive,None
Positive,None,Positive,Negative,Positive,None,Neutral,Negative,None,None
None,None,None,None,Positive,None,Neutral,None,None,None
Positive,Positive,None,None,Positive,Positive,Neutral,None,None,None
None,None,None,None,Negative,None,None,Negative,None,None
Positive,None,None,Positive,Positive,Neutral,None,Positive,None,None
None,Neutral,None,None,None,Neutral,Neutral,Negative,Negative,Neutral
None,None,None,None,None,Negative,None,None,None,None
Positive,None,None,Positive,Positive,None,None,None,Positive,None
Negative,None,Negative,None,Negative,Negative,None,None,Negative,None
Positive,None,None,Positive,Positive,Positive,Neutral,None,None,None
Positive,Negative,Neutral,Neutral,Positive,None,None,Neutral,None,None
None,Positive,None,None,Positive,Positive,None,None,None,None
Negative,Positive,None,Negative,None,None,None,None,None,None
Negative,None,None,None,Negative,Negative,Neutral,None,None,None
None,None,None,None,Positive,Positive,None,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
Positive,None,None,None,Positive,None,None,None,Positive,None
Negative,None,Negative,None,Neutral,None,None,None,None,None
Negative,None,None,Negative,Negative,Negative,None,None,None,None
Negative,None,None,Negative,None,Negative,None,None,None,None
None,None,None,Negative,Negative,None,None,None,Negative,None
Positive,None,None,Negative,None,Negative,None,None,None,None
Negative,Negative,Neutral,Negative,None,None,None,None,Negative,None
Positive,Positive,Positive,Neutral,Positive,None,None,Positive,None,None
None,None,None,Negative,Negative,Negative,None,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,Positive,Positive,None,Positive,Positive,Neutral,None,None,None
Positive,Positive,None,None,None,Positive,None,Positive,Positive,None
None,Negative,None,None,None,Negative,Negative,None,None,None
Positive,Neutral,None,Neutral,None,Positive,None,None,None,Negative
Positive,None,None,Positive,Positive,None,None,None,None,None
None,None,None,None,Positive,Positive,None,None,Positive,None
Neutral,None,Positive,Negative,Negative,None,Neutral,None,None,None
Positive,Positive,None,Negative,Positive,Positive,Positive,Positive,None,None
Positive,Positive,None,Positive,Positive,Positive,None,None,None,None
None,None,None,Negative,Negative,Negative,None,None,None,None
None,Negative,Positive,Negative,None,None,None,None,Negative,None
None,None,None,None,Positive,Positive,Neutral,None,None,Neutral
Neutral,Negative,None,None,Positive,None,None,None,None,None
None,Negative,None,Negative,None,None,None,None,None,None
Negative,None,None,Negative,Negative,Negative,None,None,None,None
None,Negative,None,None,Neutral,Negative,None,None,None,None
None,None,None,Negative,None,Negative,None,None,None,None
Negative,None,None,None,Positive,None,None,None,Positive,None
None,Negative,None,Negative,Positive,None,None,None,None,None
Positive,None,None,Positive,None,Positive,None,Positive,Positive,None
Neutral,None,None,None,None,None,Neutral,Positive,None,None
None,None,Positive,Positive,Positive,Positive,Neutral,None,Positive,None
None,None,None,None,Positive,None,Neutral,None,Positive,Negative
None,None,None,Negative,Positive,None,Negative,None,None,None
Negative,None,None,None,None,Negative,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,None,Neutral,Positive,Neutral,Neutral,None,None,None
None,None,Positive,None,Positive,Positive,Positive,None,Positive,None
None,None,None,None,None,Negative,None,None,None,None
Positive,None,None,Negative,None,Positive,None,None,None,None
Positive,Positive,None,Negative,None,Negative,None,Neutral,None,None
Negative,None,Positive,None,None,None,Negative,None,None,None
None,None,None,None,None,None,Negative,Negative,None,None
Negative,None,None,Negative,None,None,None,None,None,None
Negative,Positive,None,None,None,Positive,None,Positive,None,None
None,None,None,None,Positive,None,Neutral,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,None,Positive,Positive,None,Neutral,None,None,None
Negative,None,None,None,Positive,None,None,None,None,None
Positive,None,None,None,Positive,Positive,Neutral,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,Negative,None,None,Negative,Neutral,None,Negative,None,Positive
None,None,None,Negative,Negative,Negative,None,None,None,None
None,Positive,Positive,None,Positive,Positive,Neutral,None,None,None
Positive,Positive,None,None,Positive,Positive,None,Positive,None,None
Positive,Positive,None,None,Positive,None,None,None,Positive,None
None,None,None,Negative,Positive,Negative,None,None,None,None
Positive,Positive,Positive,Positive,Positive,None,Positive,None,None,None
Negative,None,None,None,Positive,None,Neutral,None,Positive,None
None,Negative,None,None,None,None,None,None,None,None
Positive,None,Positive,None,Positive,Positive,Positive,None,None,None
None,None,None,None,None,Positive,None,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,None,Positive,None,None,Negative,None,None
None,Positive,None,Negative,None,None,None,None,None,None
None,None,None,None,Positive,None,None,None,None,None
Positive,None,None,None,None,None,None,None,None,None
None,None,None,None,None,Positive,None,None,Positive,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,Negative,Negative,Positive,Neutral,Neutral,None,None,None
None,None,None,None,Positive,None,None,None,None,None
Positive,Positive,None,None,None,Negative,None,None,None,None
Negative,Positive,None,Positive,Positive,None,None,Positive,None,None
None,None,None,Negative,Negative,Negative,None,None,None,None
Negative,None,None,Negative,Negative,Negative,None,None,Negative,None
None,Negative,None,Negative,Positive,None,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Negative,None,None,None,None,None,None,None,None,None
Positive,None,None,Negative,None,Negative,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,Positive,None,Positive,Positive,Positive,None,Positive,None
None,None,None,Negative,Negative,None,None,None,None,None
None,None,None,None,Positive,Negative,None,None,None,None
Negative,None,None,Negative,Positive,None,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
None,None,Positive,None,Positive,None,Positive,None,Positive,None
Positive,None,None,None,Positive,Positive,None,Positive,Positive,None
Negative,None,None,None,Negative,None,Negative,Negative,None,None
Negative,None,None,Neutral,None,None,None,None,None,None
None,None,None,Positive,Positive,Positive,None,None,Positive,None
None,Negative,None,Negative,Positive,None,None,None,None,None
Negative,None,None,None,None,Neutral,None,None,None,None
Negative,None,None,Negative,None,Negative,None,None,None,None
None,Negative,None,Negative,Negative,None,None,None,None,None
None,None,None,Positive,Positive,Positive,None,None,None,Positive
Positive,None,None,None,Positive,None,None,Positive,None,None
Positive,None,None,None,Positive,None,None,None,Positive,None
Negative,None,None,None,None,None,None,None,None,None
None,None,Positive,None,None,Positive,None,None,Positive,None
None,Positive,None,None,Positive,None,None,None,None,None
Positive,Positive,None,None,Positive,Positive,None,Positive,None,None
None,None,None,None,None,Neutral,Neutral,None,None,None
Positive,Positive,Positive,None,Positive,Positive,None,None,None,None
Positive,Positive,None,None,Positive,None,Positive,None,None,None
None,None,None,None,None,Positive,Neutral,None,None,None
None,None,None,None,None,Negative,None,Negative,None,None
Positive,Positive,None,None,Positive,Positive,None,None,Positive,None
None,None,None,Negative,Negative,None,None,None,Negative,None
Positive,Positive,Positive,None,Positive,None,Neutral,Positive,None,None
None,None,Negative,None,Positive,Positive,None,None,None,None
None,Positive,None,None,Positive,None,None,None,None,None
None,None,None,None,Negative,None,Neutral,None,None,None
Positive,Positive,None,None,Positive,Positive,Neutral,None,None,None
Negative,None,None,Negative,Positive,Neutral,Positive,None,None,None
Positive,None,None,None,Positive,Positive,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
None,None,None,None,Positive,Negative,Negative,None,None,None
None,None,None,None,Positive,None,None,None,Negative,None
Positive,None,None,Positive,Positive,Positive,None,Positive,None,None
None,None,None,None,None,Neutral,None,None,Negative,None
None,None,None,None,None,Negative,None,None,None,None
Neutral,None,None,None,None,None,None,None,None,None
Neutral,Positive,Positive,Positive,None,Positive,None,None,None,None
Neutral,None,None,None,Positive,Positive,None,None,None,None
Positive,None,None,None,Positive,Positive,Positive,None,None,Positive
None,None,Positive,None,None,Positive,None,None,Positive,None
Negative,None,None,None,None,None,None,None,None,None
Neutral,Neutral,None,Negative,None,None,None,Neutral,None,None
None,None,None,Negative,Neutral,None,None,None,None,None
Positive,None,Positive,None,Positive,None,None,Positive,None,None
None,Positive,None,None,Positive,Positive,None,None,None,None
None,Negative,None,None,Positive,None,Neutral,None,None,None
Positive,None,None,None,None,None,Negative,Positive,None,None
None,None,None,Negative,Positive,None,Neutral,None,None,None
None,None,None,None,None,Negative,None,None,None,None
Neutral,Positive,Negative,Positive,Neutral,Positive,Neutral,Positive,None,None
Positive,Positive,None,Positive,Positive,Positive,None,None,None,None
Negative,None,None,None,Positive,None,None,None,None,None
None,None,None,None,Positive,None,None,Negative,None,None
Positive,None,None,None,Positive,Positive,Neutral,None,None,None
None,Positive,Positive,None,Positive,None,None,None,Positive,None
None,None,None,None,Positive,Positive,Positive,None,None,None
None,None,None,None,Positive,None,Neutral,None,Positive,None
Neutral,Neutral,None,Neutral,Neutral,Neutral,Neutral,None,None,None
Neutral,Neutral,None,None,None,Positive,None,None,None,None
Negative,None,None,None,None,Negative,None,None,None,None
Positive,None,None,None,Positive,None,None,None,None,None
None,None,None,None,Positive,None,None,None,Positive,None
Positive,Negative,None,None,Positive,None,Negative,None,None,None
Positive,None,None,None,Positive,Positive,None,None,None,None
Neutral,None,None,Negative,Neutral,None,None,None,None,None
None,Positive,None,None,Positive,Positive,None,None,None,None
Positive,None,None,None,Positive,Negative,Neutral,None,None,None
None,None,None,Negative,Neutral,Negative,None,None,None,None
None,None,None,None,None,None,None,Negative,Positive,None
Positive,None,Positive,Positive,Positive,Positive,Positive,None,None,None
Positive,None,None,Negative,None,Positive,None,None,None,None
Positive,Positive,None,None,Positive,None,None,None,Neutral,None
Negative,None,None,None,Negative,None,None,None,Negative,None
None,None,None,None,None,Negative,None,None,None,None
Positive,None,Positive,None,Positive,Positive,None,None,None,None
Negative,None,None,Positive,None,Negative,None,None,Negative,None
None,None,None,None,Positive,Negative,None,None,None,None
None,Neutral,None,Neutral,Positive,Positive,Positive,None,None,None
None,Positive,Positive,None,Positive,Positive,None,None,None,None
Positive,Positive,Positive,None,Positive,Positive,None,None,Positive,None
None,Positive,Positive,None,None,None,None,None,Positive,None
None,None,None,None,Negative,None,None,None,None,None
None,None,None,Negative,None,Negative,None,None,None,None
Positive,Positive,None,Neutral,Positive,None,Positive,Positive,Positive,None
Positive,Positive,Positive,Positive,None,None,None,None,Positive,None
Neutral,None,None,None,Positive,None,Neutral,Positive,Positive,None
Positive,Positive,Negative,None,Positive,Positive,None,None,None,None
None,None,None,None,Positive,None,None,None,Positive,None
Negative,None,None,None,Positive,None,None,None,None,None
None,Neutral,None,Negative,None,Negative,None,None,None,None
None,None,None,None,None,Negative,None,None,Negative,None
Positive,None,None,None,Positive,Positive,None,None,Positive,None
Negative,None,None,None,Positive,None,None,None,Neutral,None
None,None,None,None,None,Positive,None,None,None,None
None,None,None,None,None,Neutral,None,None,None,None
None,None,None,None,Positive,Positive,Neutral,None,Positive,None
None,None,Negative,None,Negative,Negative,None,None,None,None
None,None,Positive,None,None,Positive,None,None,None,None
None,Neutral,None,Negative,Positive,Positive,Neutral,None,None,None
Neutral,None,None,None,Positive,Positive,None,None,None,None
None,Positive,None,None,Positive,None,Neutral,None,Positive,None
None,None,None,None,Positive,Neutral,Neutral,None,None,None
None,None,None,None,None,Negative,None,None,None,None
None,None,None,Negative,Negative,None,None,None,None,None
None,None,None,None,None,Negative,Negative,None,None,None
None,None,None,Negative,None,None,None,None,None,None
None,None,None,Negative,Positive,None,None,None,None,None
None,None,None,Negative,None,Negative,None,None,None,None
None,None,Positive,Negative,Negative,None,None,None,None,None
Positive,None,Positive,Positive,Positive,Neutral,None,None,None,None
None,None,None,Negative,Neutral,Negative,None,None,None,None
Negative,None,None,Negative,Positive,None,None,None,None,None
None,None,None,None,Positive,None,None,None,None,None
None,Negative,None,None,Positive,None,None,None,None,None
None,None,None,None,None,None,None,None,None,Negative
Negative,None,None,Negative,Negative,None,None,None,None,None
Negative,None,None,None,None,None,None,None,Negative,None
None,None,None,Negative,None,Neutral,None,None,None,None
Positive,None,Positive,None,Positive,None,None,None,Positive,None
None,None,Positive,None,None,Neutral,None,None,None,None
Positive,None,None,None,Positive,Positive,None,None,Positive,None
None,None,None,None,Negative,Negative,None,Negative,None,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,None,Positive,Positive,Neutral,None,Positive,None
None,None,None,None,Positive,Neutral,None,None,Positive,None
None,None,None,None,Positive,None,None,Negative,None,None
None,Negative,None,Negative,Positive,None,None,None,None,None
Negative,None,None,None,Neutral,None,None,None,Negative,None
Positive,None,Positive,Positive,Positive,Positive,Positive,None,None,None
None,None,None,None,Positive,Positive,Neutral,None,Positive,None
Positive,None,None,None,Positive,Positive,Neutral,None,None,None
Negative,None,None,Positive,None,None,None,None,None,None
Neutral,Positive,None,None,None,Positive,None,None,None,None
Positive,Positive,None,None,Positive,None,None,Positive,None,None
Positive,None,None,None,Positive,Neutral,None,None,Positive,None
None,None,None,None,None,Negative,None,None,None,None
None,None,None,None,Positive,Positive,None,None,None,None
None,None,None,None,None,Positive,None,None,Positive,None
None,None,None,Positive,None,Negative,None,None,None,None
None,None,None,None,Positive,None,Neutral,None,Positive,None
Positive,Positive,None,None,None,Negative,None,None,None,None
None,None,None,None,Positive,Positive,None,None,None,None
None,None,None,Negative,Neutral,Negative,None,None,Negative,None
Negative,Positive,None,None,None,Neutral,None,None,None,None
None,None,None,None,Positive,None,None,None,None,None
None,None,None,Negative,Neutral,Negative,None,None,Neutral,None
Neutral,None,None,None,Positive,None,Neutral,None,None,None
Negative,None,None,Negative,Negative,None,None,None,None,None
Negative,None,None,None,Negative,None,None,None,Negative,None
Positive,Positive,None,None,Positive,Positive,None,Positive,None,None
Positive,Positive,None,Positive,Positive,Positive,Positive,None,None,None
Positive,None,None,Negative,Negative,None,None,None,Negative,None
Neutral,None,None,None,Positive,None,None,None,Positive,None
Negative,Positive,None,Negative,Negative,None,Neutral,None,Positive,None
Negative,None,None,None,None,Positive,None,None,None,None
Positive,None,None,Negative,None,None,None,None,None,None
