comment,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo",5,Positive,Neutral,None,Negative,Positive,Positive,Neutral,Positive,Positive,None
"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",1,None,None,None,Negative,Negative,Negative,None,None,None,None
"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",5,Negative,Positive,None,None,Positive,Neutral,None,None,None,None
Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,5,None,None,None,None,Positive,Positive,None,None,Positive,None
"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.",3,None,None,None,Negative,None,None,None,None,None,None
Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,1,None,None,None,None,None,Negative,None,None,None,None
"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",1,Negative,None,None,None,None,Negative,Neutral,None,None,None
Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,5,Positive,None,None,None,Positive,Positive,Neutral,None,None,None
Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,5,Positive,None,None,None,None,None,None,None,None,None
Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,5,None,None,None,None,None,Negative,None,None,None,None
"Tất cả mọi thứ đều ổn hết: màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. 
Nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. Tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. 
Thêm 1 cái nhỏ xíu xiu : mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. Tức ghê ",4,Positive,None,Neutral,None,Positive,Positive,Negative,Positive,None,None
"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",5,Positive,Positive,Positive,None,None,Positive,None,None,None,None
"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )",5,Positive,None,None,Positive,None,Neutral,None,Positive,Neutral,None
Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,5,Positive,None,None,None,None,Positive,Positive,None,Positive,None
"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",1,Positive,Negative,None,None,Negative,None,Neutral,None,None,None
"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",3,None,Negative,None,None,None,Positive,None,None,None,None
"Mới dùng đc tầm nửa tháng thấy khá là OK mượt
Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh",5,Positive,None,None,None,Positive,Positive,None,None,None,None
"Mình mua máy samsung a20s được 4 ngày rồi. Nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. Chụp hình đẹp, máy rất mượt.
Chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ).",5,Positive,Positive,None,Negative,Positive,Positive,Neutral,None,Negative,None
Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,4,None,None,None,None,Positive,Negative,None,None,None,None
"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",5,Neutral,None,Neutral,None,Positive,None,None,None,Positive,None
Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,1,Negative,Negative,None,None,Negative,Negative,None,None,None,None
Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,1,None,None,None,Negative,None,None,None,Negative,Neutral,None
"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",4,None,None,None,Negative,None,None,Positive,None,None,None
"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",4,Positive,None,None,Neutral,Positive,None,None,None,None,None
Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,1,None,None,None,None,None,None,None,None,Negative,None
Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,5,Positive,None,None,None,Positive,Positive,Neutral,None,None,None
"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn ",5,None,Positive,Positive,Positive,None,None,Positive,Positive,Positive,None
"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi",5,Positive,Positive,None,None,Positive,Positive,None,None,None,None
"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê",4,Negative,Positive,None,None,None,Negative,None,Negative,Negative,None
Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,1,None,None,None,Negative,None,Negative,None,None,None,None
"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa",4,Neutral,Neutral,Positive,None,None,Negative,None,Positive,None,None
Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,5,None,None,Positive,None,None,None,None,None,Positive,None
"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi  , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.",1,None,None,Positive,Negative,None,Negative,None,None,None,None
"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.",5,Neutral,None,None,None,Negative,Positive,Positive,None,None,None
Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,1,Negative,None,None,None,None,None,None,None,None,None
mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,5,None,None,None,None,None,Positive,None,Negative,None,None
"Máy rất xịn 
Thứ nhất : chơi game mượt với chíp snap
Thứ hai : pin trâu xài cả ngày mà còn 50% 
Thư ba : màn hình đẹp chụp hình sáng",5,Positive,Positive,None,None,Positive,Positive,None,Positive,None,None
"Sp tuyệt vời chắt mua em nó quá... Vì chán hàng made in China rồi, người Việt dùng hàng Việt.",5,None,None,None,None,Positive,None,None,None,Positive,None
"Mọi thứ xài thì khá ok, chỉ có pin tuột nhanh kinh khủng, không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó",1,Negative,None,None,None,Positive,None,None,None,None,None
Thấy mọi người đánh giá nhiều lỗi nhưng đó là do phần mềm lúc các bạn đó mua máy là phần mềm chưa cập nhật. Mình mua máy được một tháng và dùng rất ok không một lỗi nào vì Xiaomi đã update phần mềm fix lỗi hết rồi. Các bạn yên tâm mua nhé .,5,None,None,None,None,Positive,Positive,None,None,None,None
"Dùng tạm tạm , camera quá tệ , phần mềm thì cài các ứng dụng mặc định như vinid ,mua sắm...quá nhiều , mua điện thoại để dùng cá nhân chứ không phải mua điện thoại để Vinmart quảng cáo . Giá rẻ không đáng bỏ tiền mua",1,None,Negative,None,None,Negative,Negative,Neutral,None,Negative,None
Máy mượt pin trâu nhưng Xạc pin mà nó cứ ấm ấm z có nguy hiểm không ad ngoài ra thì rất tốt,5,Neutral,None,None,None,Positive,Positive,None,None,None,None
Cho e hỏi máy mua được một năm r nhưng dạo gần đây pin hay tụt nhanh lắm.giúp em cách khác phục với,5,Negative,None,None,None,None,None,None,None,None,None
Sản phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings ko gật lag nào hết,5,None,None,None,None,Positive,Positive,None,None,None,None
Mới mua đc 15 ngày. Xài tạm ổn nhưng pin tụt nhanh. Máy sạc bị nóng.mới mua mà chưa gì máy đã bị nóng. Còn lại ổn,3,Negative,None,None,None,Positive,None,None,None,None,None
"Pin sạc 3 tiếng từ 15%-100% (pin trâu)
Camera chụp hình khá đẹp trong điều kiện sáng tốt, có chế độ chụp cảnh buổi tối khá tốt
Cảm biến vân tay rất nhạy
Những thao tác xem phim, nghe nhạc, lướt web đều mượt
Quay phim chống rung tốt
Loa vừa đủ nghe, ấm
Màn hình hiển thì rất nét (mình k biết là do rổ hay gì)
(đây là những đánh giá sau 2 ngày mình sử dụng, đây là điện thoại tốt trong tầm giá trên 3 triệu, không nên đòi hỏi nhiều về game hay những thao tác nặng hơn)",5,Positive,Positive,None,Positive,Positive,None,Neutral,Positive,None,None
Good máy dùng mượt pin thì hơi kém tí nói chung ok nhân viên nhiệt tình thanks thế giới di động,5,Negative,None,None,None,Positive,Positive,None,None,Positive,None
"Quá thất vọng, mời mua 2 ngày mà xài cảm giác quá tệ luôn, thua cả con J7pro mua năm 2017. Pin thì nhanh hết (chỉ vào Zalo, FB thôi) xài 1 buổi bình thường mà hết 50% pin. Còn bắt sóng Wifi, 3G kém, Chat Zalo có nhiều lúc không nhận được tin, hoặc lâu mới nhận được. Còn kiểu dáng, camera, tốc độ thì Ok. Đề nghị samsung xem lại!",2,Negative,Positive,Positive,Negative,Negative,Positive,None,None,None,None
Sản phẩm rất tốt. Chơi game rất tốt . pin trâu . mỗi tội ứng dụng của máy dính quảng cáo quá nhiều . trong phần cài đặt cũng có quảng cáo của gg chèn vào .,5,Positive,None,None,None,Positive,Neutral,None,None,None,None
Sai lầm khi mua đt này ghê ă. Nghe nv tư vấn xoq mua lun về xem lại cấu hình mới thấy chán. Tầm giá này mà màn hình chỉ mức HD+ . sử sụng chip rất yếu chơi game thì giật liên tục.,2,None,None,None,None,Negative,Negative,Neutral,Negative,None,None
"mình mới mua chiếc điện 3 GB chiếc màu tím . Với mức giá như thế này thì các bạn nên mua một chiếc cho bản thân . Chơi game mượt, loa tốt, wifi ổn, các tác vụ bình thường thì ok",5,None,None,None,Positive,Positive,Positive,None,None,None,None
Thiết kế đẹp. So với giá thành thì chất lượng cực ổn. Mình đi du lịch cầm con này theo selfie rất ưng ý.,5,None,Positive,Positive,None,Positive,None,Neutral,None,None,None
Sao mình sài đc 1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn hình bị tắt,3,None,None,Negative,Neutral,None,None,None,None,None,None
"Mua máy dc 1 tuần. Đối với 6 triệu thì máy quá ok.  Mọi thứ đều hoạt động mượt mà. Đặc biệt pin trâu. Xài 2 ngày mới cần sạc pin lại. Mình dùng toàn 3G, k dùng wifi, ít chơi game, chỉ Facebook, zalo, Youtube, thỉnh thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà k hết dc. Xứng đáng số tiền bỏ ra.",5,Positive,None,None,None,Positive,Positive,Positive,None,None,None
"Điện thoại khi tin nhắn tới lâu lâu sẽ nghe nó bị rè rè , âm thâm tin nhắn như bị đè nén đi",4,None,None,None,Negative,None,None,None,None,None,None
Ứng dụng văn phòng rất chán đặc biệt ng sử dunbj email làm việc như mình. Còn chơi game vs lướt web thì chấp nhận đc. Pin khoẻ,3,Positive,None,None,None,None,Negative,None,None,None,None
Khá ok ngon về mọi thứ màn mượt.pin khỏe . sạc maxx sướng.cảm giác phê lòi..... hơn hẳn SS về mọi mặt.hehe,5,Positive,None,None,Positive,Positive,None,None,None,Positive,None
"Hên ghê. Lúc mua em này được giảm 700k giá ưu đãi 2tr990. Mua 2 ốp lưng giá 90k+thêm khách hàng thân thiết giảm thêm 150k nữa nên tậu luôn cái tai phone. Nói gì nói chứ thấy máy chạy mượt mà sao nhiều bạn lại chê. Mình không chơi game nên như vậy là quá Ok rồi. Nhân viên nhiệt tình,vui vẻ.",5,None,None,None,None,Positive,Positive,Positive,None,Positive,None
Mới mua cách đay mấy ngày thật sự rất tệ. load hình quá chậm và nhảy màn hinh.loa nghe nhạc qua nhỏ,1,None,None,None,Negative,Negative,Negative,None,None,None,None
Máy dùng tạm được. Đang dùng quen IP sáng máy này thì ko ưng về cảm ứng và chất lượng video. Xem nhiều gây nhức mắt. Được cái pin khoẻ. Dùng cả buổi sáng hết 8%.,3,Positive,None,None,Negative,Neutral,None,None,Negative,None,None
"Đánh giá sau 1 năm sử dụng thì :
- chơi game cực đã vì pin trâu+sạc nhanh+hiệu năng tốt
- chụp ảnh ở mức bình thường đủ dùng để làm việc chứ k dùng vào việc sống ảo hay chụp chuyên nghiệp 
- được update phần mềm thường xuyên 
- nhược điểm lớn nhất của phần thiết kế là camera lồi quá nên bị xước
- màn hình siêu bền với gorillas 3
- điều ghét nhất ở máy này đó là wifi hay bị lag
Kết: đáng mua trong tầm giá này",4,Positive,Neutral,Negative,Negative,Positive,Positive,Neutral,Positive,None,None
Máy bỏ túi hay bị chụp màn hình loạn xì ngầu. Máy mới nhưng loa rất rè. Có ai bị giống mình không,3,None,None,None,Negative,None,None,None,None,None,None
"đừng có mua nếu ai đó đang dự định mua. sản phẩm xài 1,2 tháng có dấu hiệu đơ máy, cảm ứng lâu lâu không nhạy. nói chung rất thất vọng khi mua. nói trước kẻo mốt ôm hận.",1,None,None,None,Negative,Negative,Negative,None,None,None,None
"Sóng sánh kém lắm,giữa đất thị trấn mà chỉ đc 2-3 vạch. Wifi vào phòng trong cách khoảng 5m mà bắt đc 3 vạch. Đã gửi đi hãng thẩm định. Pin qua đêm tắt hết ứng dụng,mạng mà sáng dậy tụt 12%.
Chơi liên quân đôi khi vẫn bị khựng lại chút.đc cái màn nét.",2,Negative,None,None,Negative,None,Negative,None,Positive,None,None
"Mọi thứ đều ổn, trừ đánh thức cảm ứng màn hình khi lên lúc thì không.. phải Sài nút bấm nguồn",3,None,None,None,Negative,Positive,None,None,None,None,None
"Huawei P30 Lite sẽ sở hữu màn hình 6.15 inch độ phân giải Full HD+ với phần notch kiểu giọt nước, tích hợp chip Kirin 710, viên pin dung lượng 3.240 mAh (hỗ trợ sạc nhanh 18W) và được trang bị cụm 3 camera 20 + 16 + 2 MP",4,Neutral,Neutral,Neutral,None,None,Neutral,None,Neutral,Neutral,None
OK tất mỗi tội loa hơi nhỏ 1 tí và màn hình xem phim k mỏi mắt nhưng hình ảnh k được mượt cho lắm . Còn chíp thì antutu đc 288k điểm mạnh . Hơn hẳn 730g,4,None,None,None,Negative,Positive,Positive,None,Negative,None,None
"Mình cảm thấy oppo ko mượt như quảng cáo, máy mình sử dụng bị lỗi ứng dụng sau 15 ngày và phải đổi máy khác, chụp hình mặt như bị sưng ko đẹp. ko đáng bỏ ra gần 13 triệu.",5,None,None,Negative,None,None,Negative,Negative,None,Negative,None
Tôi rất thích sản phẩm này với tâm già 8990 khó có còn nào lại nó vẻ ngoài hình lẫn chức năng,5,None,None,Positive,None,Positive,None,Neutral,None,None,None
Pin tuột hơi bị nhanh đấy. Chỉ lướt fb. Bật tiết kiệm pin mà có 10p từ 90 còn 84% . Cảm biến vâng tay tạm thôi . Chụp hình đẹp. Chỉ k hài lòng về pin của con này thôi. Bù lại sạc nhanh nên cũng đỡ,4,Neutral,Positive,None,Neutral,None,None,None,None,None,None
Cảm nhận của mình khi sử dụng A70 thật sự quá tốt mình cũng sợ lỗi này nó khi tham khảm nhiều ý kiến nhưng khi mua rồi thật sự không có gì để chê trách pin trâu màn đẹp xem phim chơi game rất thích đặc biệt viền bezel của máy rất mỏng ae nào còn lăng tăng hay vẫn tham khảm thì mình nói thật nên mua mà trải nghiệm mới biết được máy như thế nào đâu phải một máy lỗi là tất cả đều bị lỗi đâu riêng mình đánh giá e này rất tốt so với tầm tiền này bỏ ra nhé,5,Positive,None,None,None,Positive,Positive,Neutral,Positive,None,None
"Máy ok. Chỉ có hơi thất vọng về pin và không có tấm dán màn zin, dùng tấm dán film cảm giác k mượt. Thái độ phục vụ rất tốt. Cho 4*",4,Negative,None,None,None,Positive,None,None,None,Neutral,None
"Máy mới nghe gọi to rõ OK . Nhân viên TGDD rất nhiệt tình rất thích, máy tuy nghệ gọi những đây đủ chức năng. Nghe nhạc to khá hay.",5,None,None,None,Positive,None,None,None,None,Positive,None
"Máy dùng OK pin trâu, nhân viên tư vấn nhiệt tình... chất lượng đúng với giá thành,",4,Positive,None,None,None,Positive,None,Neutral,None,Positive,None
"QUÁ NGON MỌI NGƯỜI ƠI. ỦNG HỘ BÁC VƯỢNG ĐI NÀO :v , pin trâu mượt mà, nhiều tính năng thú vị, đặc biệt là trả lời tin nhắn nhanh như trên wp 10.",5,Positive,None,None,Positive,Positive,None,None,None,Positive,None
"Dùng được 3 ngày, mọi trải nghiệm tuyệt vời, pin ổn, màn hình rất tốt, không hề xấu hay rổ.
Duy nhất khoảng chụp ảnh xóa phông vật thể làm chưa tốt, chắc do thiếu camera tele",4,Positive,Negative,None,None,Positive,None,None,Positive,None,None
"Điện thoại mọi thứ đều ổn , chỉ có cảm biến vân tay và pin hơi tệ so với giá này !",4,Negative,None,None,Negative,Positive,None,None,None,None,None
"Ngày đầu mua về là đã bị lỗi... mở mạng bị đơ, 
Dag nt hoặc đang xem Youtube FB lướt nhảy out là ngoài nhiều lần như vậy,, ai cũng nói màng AMOLED đẹp thấy chả có gì là đẹp,  chụp hình thì tệ,, xấu.. nhất là gọi video ,,,, ( thua xa con Oppo F7 nửa) ai mà mua nhu cầu chụp hình thì đừng mua dòng này,,, ,, bin 4015  cũng như bằng 3600 của F7 thôi... chỉ đc cái sax nhanh... và đã đem đi đỗi....",3,Neutral,Negative,None,None,Negative,Negative,None,Negative,None,None
Mới mua được hơn 1 tháng màn hình bị lỗi có 1 chấm xanh trên màn hình. Cảm ứng hơi đơ. Loa hơi rè rè. Mình sẽ đến điện máy xanh để bảo hành màn hình.quá buồn cho một cái giá cao mà đổi lại k hài lòng. Cảm thấy hối hận khi mua máy.,1,None,None,None,Negative,Negative,None,Negative,Negative,None,None
"Máy bị lỗi kết nối bluetooth đã đổi máy mới nhưng vẫn bị tình trạng kết nối chập chờn 
Chưa bao giờ sài samsung mà lại ko  hài hài lòng như bây giờ",3,None,None,None,Negative,None,None,None,None,Negative,None
Điện thoại khá tốt pin trâu khá mượt bắt wifi cực tốt chỉ là thỉnh thoảng máy bị đơ phải thoát ra vào lại và máy ko cập nhật lên miul 12,4,Positive,None,None,Positive,Positive,Neutral,None,None,None,None
"Lúc trước nghe bảo điện thoại chơi game nóng, nhưng mua về chiến liên quân 3 4h liên tục thì chỉ thấy ấm không nóng như lời đồn, những thứ khác thì vũng chẳng có gì để nói vì quá ngon rồi",5,None,None,None,None,Positive,Neutral,None,None,None,None
"1. Máy nếu không chơi game, lướt web..., ít sử dụng thì giữ Pin cao nhất được khoảng 1 ngày 16 tiếng ( Tính luôn cả lúc ngủ nhé vì khi ngủ thì chẳng động gì tới ) . Không được 2 ngày như mn nói đâu 
2. Nhạc nghe cứ cà giật cà giật rất khó chịu luôn
3. Quay video bị mờ chán 
Còn lại okie ",3,Neutral,Negative,None,Negative,Positive,None,None,None,None,None
"Nói chung là khá ổn với mức giá đó, có nhược điểm là selfie 8.0 Mà như 5.0 Vậy  k lấy đc nét chuẩn như con a5s",3,None,Negative,None,None,Positive,None,Neutral,None,None,None
Cam ứng lúc được lúc không pin thì hơi mau hết. Nhưng được cái sac nhanh không biêt mai mốt câp nhật nó hết không nữa,3,Neutral,Negative,None,None,None,None,None,None,None,None
mọi người suy nghĩ kỹ trước khi nên mua thứ nhất là bắt sóng yếu thứ hai là camera lâu lâu bị lỗi chơi game thì bị giật lát ram đa phần là RAM ảo áo không như mọi người nói đâu trước khi mua mọi người nên test tại cửa hàng thế giới Di Động để có chất lượng như mình mong muốn rồi hãy mua,2,None,Negative,None,Negative,None,Negative,None,None,None,None
"pin trâu, xạc nhanh, chiến game ngon, nhưng bắt sóng quá tệ. đang xài bị rớt xuống mạng E, tắt nguồn khởi động lại vẫn vậy",3,Positive,None,None,Negative,None,Positive,None,None,None,None
"Chơi game ở mức ổn định nếu cấu hình trung bình, lâu lâu bị lag, pin xài lâu, sạc pin nhanh. Giá 8 triệu như vậy cũng ok",4,Positive,None,None,None,Neutral,Neutral,Neutral,None,None,None
"sản phẩm thiết kế rất đẹp, giá chính hãng, bảo hành rất tốt, pin dùng cả ngày đi làm mà ko hết, chụp ảnh đẹp tuyệt vời",5,Positive,Positive,Positive,None,None,None,Neutral,None,Positive,None
K bk do bản cập nhập bị lỗi hay k mà càng ngày xài thấy càng lag dt ra . Hôm nay nt messenger còn bị lag soạn tin xog mà chữ chưa dk đánh xog nữa . Bỏ sô tiền cao mua sản phẩm này thấy thất vọng quá .,2,None,None,None,None,Negative,Negative,Negative,None,None,None
Hai buồn máy ko như ý mua 1 tuần pin ko trâu vân tay thì ko nhạy tuy khóa màn hình mà sơ hở chưa tắt khóa là bị loạn cảm ứng gọi lung tung hết tiền và phiền haizz sai làm khi mua con này. Nhân viên tgdd vui vẻ nhiệt tình chê máy ko chê thái độ phục vụ,1,Negative,None,None,Negative,Negative,None,None,None,Positive,None
